window,kind,modality,dcor_statistic,dcor_permutation_p,procrustes_permutation_p,rv_value,rv_permutation_p,multiblock_blocks_used,multiblock_joint_components,multiblock_warning,component,band_label,baseline_rmse_loocv,baseline_mae_loocv,feature_set,model_type,band_lower_nm,band_upper_nm
320_480nm,Sigma,chrom,0.7451038912928127,0.2300769923007699,0.0953904609539046,1.1446011498283473,0.1444855514448555,"['12Oclock', '6Oclock']",1,,oxidized,320_480nm,0.3237081295994741,0.2946199081925394,phase9,ridge,320.0,480.0
320_480nm,Sigma,chrom,0.7451038912928127,0.2300769923007699,0.0953904609539046,1.1446011498283473,0.1444855514448555,"['12Oclock', '6Oclock']",1,,reduced,320_480nm,0.7990933351881929,0.6725761373577558,phase9,ridge,320.0,480.0
320_480nm,Sigma,chrom,0.7451038912928127,0.2300769923007699,0.0953904609539046,1.1446011498283473,0.1444855514448555,"['12Oclock', '6Oclock']",1,,total,360_410nm,0.3258850294864286,0.2743881018840075,phase9,ridge,360.0,410.0
320_480nm,Sigma,chrom,0.7451038912928127,0.2300769923007699,0.0953904609539046,1.1446011498283473,0.1444855514448555,"['12Oclock', '6Oclock']",1,,oxidized,360_410nm,0.2139205764292079,0.2022936821672161,phase9,ridge,360.0,410.0
320_480nm,Sigma,chrom,0.7451038912928127,0.2300769923007699,0.0953904609539046,1.1446011498283473,0.1444855514448555,"['12Oclock', '6Oclock']",1,,reduced,360_410nm,0.5223069751329745,0.3855908131303233,phase9,ridge,360.0,410.0
320_480nm,Sigma,chrom,0.7451038912928127,0.2300769923007699,0.0953904609539046,1.1446011498283473,0.1444855514448555,"['12Oclock', '6Oclock']",1,,total,peak_band_auto,0.3162586848476353,0.2959287503155081,phase9,ridge,300.0,600.0
320_480nm,Sigma,chrom,0.7451038912928127,0.2300769923007699,0.0953904609539046,1.1446011498283473,0.1444855514448555,"['12Oclock', '6Oclock']",1,,oxidized,peak_band_auto,0.074789604846125,0.0521511691877841,phase9,ridge,300.0,600.0
320_480nm,Sigma,chrom,0.7451038912928127,0.2300769923007699,0.0953904609539046,1.1446011498283473,0.1444855514448555,"['12Oclock', '6Oclock']",1,,reduced,peak_band_auto,0.7415580433918569,0.6440011209261374,phase9,ridge,300.0,600.0
320_480nm,Sigma,dad,0.6088256847417398,0.4634536546345365,0.2887711228877112,0.8348252141532411,0.2664733526647335,"['12Oclock', '6Oclock']",1,,total,320_480nm,1.0780579465594022,0.8963042542741718,phase9,ridge,320.0,480.0
320_480nm,Sigma,dad,0.6088256847417398,0.4634536546345365,0.2887711228877112,0.8348252141532411,0.2664733526647335,"['12Oclock', '6Oclock']",1,,oxidized,320_480nm,0.7969216432037829,0.7196117163263053,phase9,ridge,320.0,480.0
320_480nm,Sigma,dad,0.6088256847417398,0.4634536546345365,0.2887711228877112,0.8348252141532411,0.2664733526647335,"['12Oclock', '6Oclock']",1,,reduced,320_480nm,0.9505972997341512,0.7776720208215152,phase9,ridge,320.0,480.0
320_480nm,Sigma,dad,0.6088256847417398,0.4634536546345365,0.2887711228877112,0.8348252141532411,0.2664733526647335,"['12Oclock', '6Oclock']",1,,total,360_410nm,0.5867691294947454,0.4844904827417366,phase9,ridge,360.0,410.0
320_480nm,Sigma,dad,0.6088256847417398,0.4634536546345365,0.2887711228877112,0.8348252141532411,0.2664733526647335,"['12Oclock', '6Oclock']",1,,oxidized,360_410nm,0.4733497465046269,0.4371599314887615,phase9,ridge,360.0,410.0
320_480nm,Sigma,dad,0.6088256847417398,0.4634536546345365,0.2887711228877112,0.8348252141532411,0.2664733526647335,"['12Oclock', '6Oclock']",1,,reduced,360_410nm,0.5522015383691807,0.4396103516244198,phase9,ridge,360.0,410.0
320_480nm,Sigma,dad,0.6088256847417398,0.4634536546345365,0.2887711228877112,0.8348252141532411,0.2664733526647335,"['12Oclock', '6Oclock']",1,,total,peak_band_auto,0.553726739001856,0.5228831968407895,phase9,ridge,300.0,600.0
320_480nm,Sigma,dad,0.6088256847417398,0.4634536546345365,0.2887711228877112,0.8348252141532411,0.2664733526647335,"['12Oclock', '6Oclock']",1,,oxidized,peak_band_auto,0.1661286385692352,0.1341550697405415,phase9,ridge,300.0,600.0
320_480nm,Sigma,dad,0.6088256847417398,0.4634536546345365,0.2887711228877112,0.8348252141532411,0.2664733526647335,"['12Oclock', '6Oclock']",1,,reduced,peak_band_auto,0.7371860574225196,0.6677521595836854,phase9,ridge,300.0,600.0
320_480nm,Sigma,latent,0.6868229599491834,0.3395660433956604,0.1641835816418358,0.990688407070575,0.1932806719328067,"['12Oclock', '6Oclock']",1,,total,320_480nm,0.5483994083224311,0.4519168413190786,phase9,ridge,320.0,480.0
320_480nm,Sigma,latent,0.6868229599491834,0.3395660433956604,0.1641835816418358,0.990688407070575,0.1932806719328067,"['12Oclock', '6Oclock']",1,,total,360_410nm,0.3052728496204224,0.2561023066075141,phase9,ridge,360.0,410.0
320_480nm,Sigma,latent,0.6868229599491834,0.3395660433956604,0.1641835816418358,0.990688407070575,0.1932806719328067,"['12Oclock', '6Oclock']",1,,total,peak_band_auto,0.2895612425427948,0.2731519802572092,phase9,ridge,300.0,600.0
