target,kind,band_label,role,subset_name,feature_count,features,alpha,rmse_loocv_subset,mae_loocv_subset,rmse_loocv_catalogue,rmse_in_sample_catalogue,delta_rmse_loocv
dad_total,Sigma,peak_band_auto,reporting,peak_only,1,peak_reflectance,0.1,0.49838877089991784,0.34963337791232335,0.553726739001856,0.19956935640759682,-0.05533796810193814
dad_total,Sigma,peak_band_auto,reporting,peak_reflectance+continuum_depth,2,"peak_reflectance,continuum_depth",0.1,0.4987248306381774,0.3497126514585999,0.553726739001856,0.19956935640759682,-0.055001908363678575
dad_total,Sigma,peak_band_auto,reporting,peak_reflectance+fwhm_nm,2,"peak_reflectance,fwhm_nm",0.1,0.46125309634679,0.3783241854707214,0.553726739001856,0.19956935640759682,-0.09247364265506597
dad_total,Sigma,peak_band_auto,reporting,peak_reflectance+peak_wavelength_nm,2,"peak_reflectance,peak_wavelength_nm",0.1,0.4852960645748811,0.41976192804439805,0.553726739001856,0.19956935640759682,-0.06843067442697487
dad_total,Sigma,peak_band_auto,reporting,peak_wavelength_nm+auc,2,"peak_wavelength_nm,auc",0.1,0.547668993943891,0.400555406624503,0.553726739001856,0.19956935640759682,-0.006057745057964969
dad_total,Sigma,peak_band_auto,reporting,peak_wavelength_nm+continuum_depth,2,"peak_wavelength_nm,continuum_depth",0.1,0.497622684047084,0.4321312889794733,0.553726739001856,0.19956935640759682,-0.056104054954772
dad_total,Sigma,peak_band_auto,reporting,peak_wavelength_nm+fwhm_nm,2,"peak_wavelength_nm,fwhm_nm",0.1,0.5394913754192593,0.44620858892464543,0.553726739001856,0.19956935640759682,-0.014235363582596694
latent_total,Sigma,peak_band_auto,reporting,auc+continuum_depth,2,"auc,continuum_depth",0.1,0.2744986395533542,0.21140444886488977,0.28956124254279486,0.10471210711332465,-0.015062602989440677
latent_total,Sigma,peak_band_auto,reporting,auc_fwhm,2,"auc,fwhm_nm",0.1,0.270800888995358,0.24912601371950602,0.28956124254279486,0.10471210711332465,-0.01876035354743688
latent_total,Sigma,peak_band_auto,reporting,auc_only,1,auc,0.1,0.2743538594203968,0.21125905267767373,0.28956124254279486,0.10471210711332465,-0.015207383122398055
latent_total,Sigma,peak_band_auto,reporting,continuum_depth+fwhm_nm,2,"continuum_depth,fwhm_nm",0.1,0.2539602018421923,0.20858923281457487,0.28956124254279486,0.10471210711332465,-0.03560104070060255
latent_total,Sigma,peak_band_auto,reporting,drop_fixed_terms,6,"peak_reflectance,peak_wavelength_nm,auc,continuum_depth,fwhm_nm,max_curvature",0.1,0.35106881752213737,0.3356302256511061,0.28956124254279486,0.10471210711332465,0.061507574979342505
latent_total,Sigma,peak_band_auto,reporting,full,8,"peak_reflectance,peak_wavelength_nm,auc,continuum_depth,fwhm_nm,max_curvature,fixed_peak_reflectance,fixed_continuum_depth",0.1,0.3510688175221391,0.3356302256511076,0.28956124254279486,0.10471210711332465,0.061507574979344226
latent_total,Sigma,peak_band_auto,reporting,fwhm_only,1,fwhm_nm,0.1,0.25420240709283193,0.20888131113393524,0.28956124254279486,0.10471210711332465,-0.03535883544996293
latent_total,Sigma,peak_band_auto,reporting,peak_auc,2,"peak_reflectance,auc",0.1,0.27423159370551675,0.21125754710512953,0.28956124254279486,0.10471210711332465,-0.01532964883727811
latent_total,Sigma,peak_band_auto,reporting,peak_only,1,peak_reflectance,0.1,0.2535981189619637,0.1821218056882352,0.28956124254279486,0.10471210711332465,-0.03596312358083115
latent_total,Sigma,peak_band_auto,reporting,peak_reflectance+continuum_depth,2,"peak_reflectance,continuum_depth",0.1,0.2537439430447929,0.18223238731188296,0.28956124254279486,0.10471210711332465,-0.03581729949800194
latent_total,Sigma,peak_band_auto,reporting,peak_reflectance+fwhm_nm,2,"peak_reflectance,fwhm_nm",0.1,0.24716719742114568,0.20146907057130012,0.28956124254279486,0.10471210711332465,-0.04239404512164918
latent_total,Sigma,peak_band_auto,reporting,peak_reflectance+peak_wavelength_nm,2,"peak_reflectance,peak_wavelength_nm",0.1,0.2524296622145959,0.2211173119645394,0.28956124254279486,0.10471210711332465,-0.037131580328198965
latent_total,Sigma,peak_band_auto,reporting,peak_wavelength_nm+auc,2,"peak_wavelength_nm,auc",0.1,0.2647448955828548,0.1982960820936929,0.28956124254279486,0.10471210711332465,-0.02481634695994006
latent_total,Sigma,peak_band_auto,reporting,peak_wavelength_nm+continuum_depth,2,"peak_wavelength_nm,continuum_depth",0.1,0.26113833290189475,0.2284239051829179,0.28956124254279486,0.10471210711332465,-0.028422909640900107
latent_total,Sigma,peak_band_auto,reporting,peak_wavelength_nm+fwhm_nm,2,"peak_wavelength_nm,fwhm_nm",0.1,0.2946542726133481,0.24178907630982147,0.28956124254279486,0.10471210711332465,0.005093030070553228
