PC1,PC2,matrix,kind,modality,window,dose_id
3.400021997530237,1.8452221761093555,reflectance,12Oclock,chrom,320_480nm,dose_5
2.7220642415771255,-1.969846444090828,reflectance,12Oclock,chrom,320_480nm,dose_6
-3.0915658041000884,0.21051999452379377,chrom,12Oclock,chrom,320_480nm,dose_1
-0.3846112881182893,-0.3745249788370532,chrom,12Oclock,chrom,320_480nm,dose_2
0.37934867336400685,1.0713522358306389,chrom,12Oclock,chrom,320_480nm,dose_3
1.8469954394922818,0.6069352413313551,chrom,12Oclock,chrom,320_480nm,dose_4
0.6762888344656975,-1.4806111509330397,chrom,12Oclock,chrom,320_480nm,dose_5
0.5735441448963914,-0.03367134191569407,chrom,12Oclock,chrom,320_480nm,dose_6
-0.2637300692251929,0.5146150824709795,reflectance,12Oclock,dad,320_480nm,dose_1
-2.850528466984919,1.3759923960197549,reflectance,12Oclock,dad,320_480nm,dose_2
-1.7355301293140293,-1.9416195589923064,reflectance,12Oclock,dad,320_480nm,dose_3
-1.2722975735832187,0.17563634848304496,reflectance,12Oclock,dad,320_480nm,dose_4
3.400021997530237,1.8452221761093555,reflectance,12Oclock,dad,320_480nm,dose_5
2.7220642415771255,-1.969846444090828,reflectance,12Oclock,dad,320_480nm,dose_6
-3.4546474023942473,-0.2374133553633988,dad,12Oclock,dad,320_480nm,dose_1
0.04898657236436473,0.5962618094873231,dad,12Oclock,dad,320_480nm,dose_2
0.46044902356038114,-0.6956386882347688,dad,12Oclock,dad,320_480nm,dose_3
1.7376520419098667,-0.3643336573901077,dad,12Oclock,dad,320_480nm,dose_4
0.32547390690384254,0.9242497285444308,dad,12Oclock,dad,320_480nm,dose_5
0.8820858576557917,-0.22312583704347866,dad,12Oclock,dad,320_480nm,dose_6
-0.2637300692251929,0.5146150824709795,reflectance,12Oclock,latent,320_480nm,dose_1
-2.850528466984919,1.3759923960197549,reflectance,12Oclock,latent,320_480nm,dose_2
-1.7355301293140293,-1.9416195589923064,reflectance,12Oclock,latent,320_480nm,dose_3
-1.2722975735832187,0.17563634848304496,reflectance,12Oclock,latent,320_480nm,dose_4
3.400021997530237,1.8452221761093555,reflectance,12Oclock,latent,320_480nm,dose_5
2.7220642415771255,-1.969846444090828,reflectance,12Oclock,latent,320_480nm,dose_6
-3.2829976457490218,-0.22496141163314398,latent,12Oclock,latent,320_480nm,dose_1
-0.2008985896513215,0.46846667874438924,latent,12Oclock,latent,320_480nm,dose_2
0.3794614999805215,-0.8845800137607451,latent,12Oclock,latent,320_480nm,dose_3
1.8195497128593219,-0.4940007843906375,latent,12Oclock,latent,320_480nm,dose_4
0.539515823432496,1.2434131046395147,latent,12Oclock,latent,320_480nm,dose_5
0.7453691991280036,-0.10833757359937715,latent,12Oclock,latent,320_480nm,dose_6
1.5870959377413845,2.400026188868327,reflectance,6Oclock,chrom,320_480nm,dose_1
1.460478728827147,1.311293771514587,reflectance,6Oclock,chrom,320_480nm,dose_2
-3.1552418703623526,1.3284956871923352,reflectance,6Oclock,chrom,320_480nm,dose_3
-2.6095546542682033,-0.5618859535005493,reflectance,6Oclock,chrom,320_480nm,dose_4
-0.5619692632202216,-3.042115080123836,reflectance,6Oclock,chrom,320_480nm,dose_5
3.2791911212822455,-1.435814613950864,reflectance,6Oclock,chrom,320_480nm,dose_6
-3.0915658041000884,0.21051999452379377,chrom,6Oclock,chrom,320_480nm,dose_1
