dose_id,kind,source,band_label,band_lower_nm,band_upper_nm,actual_band_lower_nm,actual_band_upper_nm,uva_mw_cm2,uvb_mw_cm2,trim_fraction,samples_total,samples_used,peak_reflectance,peak_wavelength_nm,auc,continuum_depth,fwhm_nm,max_curvature,fixed_peak_wavelength_nm,fixed_peak_reflectance,fixed_continuum_depth,samples_12,samples_6
dose_1,6Oclock,angle,peak_band_auto,300.0,600.0,300.0,600.0,0.0,0.0,0.2,5.0,3.0,0.4546119372049967,595.5,77.53988062466183,0.08099549253781646,134.5,0.07318875690301241,,,,,
dose_2,6Oclock,angle,peak_band_auto,300.0,600.0,300.0,600.0,0.647,0.246,0.2,5.0,3.0,0.5114405254522959,595.5,82.99360731927055,0.0901136885707578,122.5,0.07360636691252417,,,,,
dose_3,6Oclock,angle,peak_band_auto,300.0,600.0,300.0,600.0,1.095,0.338,0.2,5.0,3.0,0.4008976717789967,595.5,63.269325388285,0.07690670548627782,125.5,0.0671761905153592,,,,,
dose_4,6Oclock,angle,peak_band_auto,300.0,600.0,300.0,600.0,1.692,0.584,0.2,5.0,3.0,0.420337567726771,595.0,68.02170259505509,0.07131561887760962,124.0,0.06601884961128238,,,,,
dose_5,6Oclock,angle,peak_band_auto,300.0,600.0,300.0,600.0,2.488,0.768,0.2,5.0,3.0,0.4931554992993672,595.5,79.82061221264301,0.0852756240053309,126.0,0.0702266097068786,,,,,
dose_6,6Oclock,angle,peak_band_auto,300.0,600.0,300.0,600.0,3.185,0.707,0.2,5.0,3.0,0.55032346645991,595.5,91.03567874121168,0.08444528780877592,126.5,0.08050837119420337,,,,,
dose_1,Delta,composite,peak_band_auto,300.0,600.0,300.0,600.0,0.0,0.0,0.2,,,-0.0102809891104698,300.0,-11.578979636852926,0.01966527291056181,26.0,0.0332249527176221,,,,3.0,3.0
dose_2,Delta,composite,peak_band_auto,300.0,600.0,300.0,600.0,0.647,0.246,0.2,,,-0.0423595818380515,300.5,-28.96460401204724,0.014480772850414082,210.0,0.024097498506307602,,,,3.0,3.0
dose_3,Delta,composite,peak_band_auto,300.0,600.0,300.0,600.0,1.095,0.338,0.2,,,-0.0049071212609608,302.5,-6.735850077122436,0.008035143348905755,274.5,0.0241454616189003,,,,3.0,3.0
dose_4,Delta,composite,peak_band_auto,300.0,600.0,300.0,600.0,1.692,0.584,0.2,,,-0.0060292830069859,300.0,-5.087575060625857,0.014153687912556893,46.5,0.0185085137685139,,,,3.0,3.0
dose_5,Delta,composite,peak_band_auto,300.0,600.0,300.0,600.0,2.488,0.768,0.2,,,0.0394450277090072,302.5,6.810021931305514,0.03235176060762665,251.0,0.033742328484853,,,,3.0,3.0
dose_6,Delta,composite,peak_band_auto,300.0,600.0,300.0,600.0,3.185,0.707,0.2,,,0.0124034335215886,302.5,-3.6185866147279615,0.015471094051996745,187.0,0.029190152883529396,,,,3.0,3.0
dose_1,Sigma,composite,peak_band_auto,300.0,600.0,300.0,600.0,0.0,0.0,0.2,,,0.4105983674526214,595.5,71.75039080623534,0.06867368518271375,135.0,0.08223534499605491,,,,3.0,3.0
dose_2,Sigma,composite,peak_band_auto,300.0,600.0,300.0,600.0,0.647,0.246,0.2,,,0.4348654101292292,595.5,68.51130531324692,0.08444807905082916,129.0,0.06554532423615461,,,,3.0,3.0
dose_3,Sigma,composite,peak_band_auto,300.0,600.0,300.0,600.0,1.095,0.338,0.2,,,0.3746268153190613,593.5,59.90140034972377,0.0681884449099501,122.0,0.061186591784159194,,,,3.0,3.0
dose_4,Sigma,composite,peak_band_auto,300.0,600.0,300.0,600.0,1.692,0.584,0.2,,,0.4086652795473734,593.5,65.47791506474215,0.07139961711234516,124.0,0.05818941940863942,,,,3.0,3.0
dose_5,Sigma,composite,peak_band_auto,300.0,600.0,300.0,600.0,2.488,0.768,0.2,,,0.510219802459081,595.5,83.22562317829578,0.09665308975097203,131.0,0.06872135028243051,,,,3.0,3.0
dose_6,Sigma,composite,peak_band_auto,300.0,600.0,300.0,600.0,3.185,0.707,0.2,,,0.5364895363648732,595.5,89.22638543384768,0.08891603492200367,126.5,0.0708527291814484,,,,3.0,3.0
