dose_id,angle,band_label,wavelength_nm,reflectance
dose_1,12Oclock,320_480nm,428.0,0.1758442322413126
dose_1,12Oclock,320_480nm,428.5,0.1763790150483448
dose_1,12Oclock,320_480nm,429.0,0.1798210988442102
dose_1,12Oclock,320_480nm,429.5,0.1857669502496719
dose_1,12Oclock,320_480nm,430.0,0.1765692631403604
dose_1,12Oclock,320_480nm,430.5,0.1773829956849415
dose_1,12Oclock,320_480nm,431.0,0.1786002665758132
dose_1,12Oclock,320_480nm,431.5,0.1790895064671833
dose_1,12Oclock,320_480nm,432.0,0.180484061439832
dose_1,12Oclock,320_480nm,432.5,0.1794459372758865
dose_1,12Oclock,320_480nm,433.0,0.1789056559403736
dose_1,12Oclock,320_480nm,433.5,0.178563098112742
dose_1,12Oclock,320_480nm,434.0,0.1776038110256194
dose_1,12Oclock,320_480nm,434.5,0.1770283778508503
dose_1,12Oclock,320_480nm,435.0,0.1764097015062967
dose_1,12Oclock,320_480nm,435.5,0.1775174488623936
dose_1,12Oclock,320_480nm,436.0,0.1800840844710667
dose_1,12Oclock,320_480nm,436.5,0.1837375064690907
dose_1,12Oclock,320_480nm,437.0,0.1780443539222081
dose_1,12Oclock,320_480nm,437.5,0.179637129108111
dose_1,12Oclock,320_480nm,438.0,0.1777893205483754
dose_1,12Oclock,320_480nm,438.5,0.1794474224249521
dose_1,12Oclock,320_480nm,439.0,0.1797968993584314
dose_1,12Oclock,320_480nm,439.5,0.1809108853340148
dose_1,12Oclock,320_480nm,440.0,0.1798569013675053
dose_1,12Oclock,320_480nm,440.5,0.1808041036128997
dose_1,12Oclock,320_480nm,441.0,0.1807584961255391
dose_1,12Oclock,320_480nm,441.5,0.1854154070218404
dose_1,12Oclock,320_480nm,442.0,0.1811880866686503
dose_1,12Oclock,320_480nm,442.5,0.1856004099051157
dose_1,12Oclock,320_480nm,443.0,0.1877378672361373
dose_1,12Oclock,320_480nm,443.5,0.187195748090744
dose_1,12Oclock,320_480nm,444.0,0.1884804467360178
dose_1,12Oclock,320_480nm,444.5,0.1818715383609135
dose_1,12Oclock,320_480nm,445.0,0.1846890598535537
dose_1,12Oclock,320_480nm,445.5,0.1881353855133055
dose_1,12Oclock,320_480nm,446.0,0.1853776027758915
dose_1,12Oclock,320_480nm,446.5,0.1828073263168334
dose_1,12Oclock,320_480nm,447.0,0.1825195997953414
dose_1,12Oclock,320_480nm,447.5,0.1828799297412236
dose_1,12Oclock,320_480nm,448.0,0.1840085287888844
dose_1,12Oclock,320_480nm,448.5,0.1834532568852106
dose_1,12Oclock,320_480nm,449.0,0.1842599064111709
dose_1,12Oclock,320_480nm,449.5,0.187264601389567
dose_1,12Oclock,320_480nm,450.0,0.1848885168631871
dose_1,12Oclock,320_480nm,450.5,0.186353767911593
dose_1,12Oclock,320_480nm,451.0,0.1930489440759022
dose_1,12Oclock,320_480nm,451.5,0.2001148660977681
dose_1,12Oclock,320_480nm,452.0,0.1918522069851557
dose_1,12Oclock,320_480nm,452.5,0.1958724011977513
dose_1,12Oclock,320_480nm,453.0,0.1981157759825388
dose_1,12Oclock,320_480nm,453.5,0.1897826790809631
dose_1,12Oclock,320_480nm,454.0,0.1992890238761901
dose_1,12Oclock,320_480nm,454.5,0.1931122839450836
dose_1,12Oclock,320_480nm,455.0,0.19275663793087
dose_1,12Oclock,320_480nm,455.5,0.1961879332860311
